Id,Start time,Completion time,Email,Name,4 Digit User ID (This ID is your Prolific Completion Code),"Human-like Criteria:

In this study, what criteria did you use to judge which chatbot was more human-like?","Improve Human-likeness:

What are some human-like traits that are missing in all chatbots you have interacted with?","Age:

What is your age?","Gender: 

How do you describe your gender?","Education Level:

What is the highest level of education you have completed?","Familiarity with AI Chatbots:

How frequently have you used AI chatbots (e.g., ChatGPT, Claude, Gemini)?","Detecting AI:

How confident are you in distinguishing between human-generated and AI-generated responses?
"
10,1/3/2026 15:55,1/3/2026 15:56,anonymous,,XXXX,I looked at the way they communicated. Looked at the dreaded m dash. analyzed their answers,The are too able to answer questions accurately right away,45-54,Woman,Some college,Daily or almost daily,Moderately confident
11,1/3/2026 16:01,1/3/2026 16:03,anonymous,,XXXX,"I felt that a human-like response would be shorter, likely contain some form of slang, and wouldn't have long winded uses of verbose responses, that overly agree with everything I say, have some pushback and sound natural in conversation. ALSO the use of ""-"" in responses is something the average person would avoid.","I feel that some misspelled words, some slang or uses of ""uh"" ""um"" using lower case responses, it feels sanitized and I feel that the responses lack human warmth and do feel artificial with how they describe their symptoms in a way that seems AI chatgpt like. ",25-34,Man,Some college,Daily or almost daily,Somewhat confident
12,1/3/2026 16:19,1/3/2026 16:22,anonymous,,XXXX,Did the reponse sound like it was plausable for a human to say. The one that felt the more natural to me.,They sometimes were not answering the questions that I asked directly.,45-54,Woman,High school or equivalent,A few times a week,Moderately confident
13,1/3/2026 16:28,1/3/2026 16:30,anonymous,,XXXX,if it had feelings and rambled on like a human,"rambling, feelings, emotions",25-34,Man,Some college,Daily or almost daily,Moderately confident
14,1/3/2026 16:40,1/3/2026 16:42,anonymous,,XXXX,"I mostly just went with gut feeling, honestly. Some models talked TOO much to a point of suspicion, whereas others were very stilted and robotic. ","I'd say punctuation and spelling mistakes. The AIs are too perfect in their grammar, and use far too many em dashes. A normal human would never use those.",18-24,Non-binary,High school or equivalent,"I used to use them daily, but no longer.",Very confident
15,1/3/2026 20:30,1/3/2026 20:33,anonymous,,XXXX,I tried to look for the more casual conversational pattern.  Frankly it was really hard for me to tell. ,There is a flatness about them that I find disconcerting.  Below you ask for my age range but leave out 55-64 so I marked 45-54 even though I am 58. ,45-54,Woman,Some college,A few times a month,Not at all confident
16,1/3/2026 20:32,1/3/2026 20:34,anonymous,,XXXX,"More just deciding which chatbot was not human like, the ones that tried to get all poetic were weird. ","I guess using slang, but they were all relatively old people. ",18-24,Man,Some college,A few times a month,Somewhat confident
17,1/3/2026 20:31,1/3/2026 20:34,anonymous,,XXXX,The word structure that was spoken in a more normal human way.,A chat that is down to earth and spoken in a normal way that isnt a expert level.,45-54,Man,High school or equivalent,Daily or almost daily,Extremely confident
18,1/3/2026 20:36,1/3/2026 20:37,anonymous,,XXXX,"If they talked too human or seemed to emulate humans, that was a red flag. Also if they seemed to clinical, that was also a red flag. If they kept things tight and didn't overshare, I also took that as a green flag",Definitely more secretive or almost seeming embarassed about it,25-34,Woman,High school or equivalent,Daily or almost daily,Not at all confident
19,1/3/2026 21:26,1/3/2026 21:27,anonymous,,XXXX,They both seemed to be knowledgable ,Nothing from what I could tell. They seemed human like,35-44,Man,Some college,A few times a month,Very confident
20,1/3/2026 21:31,1/3/2026 21:33,anonymous,,XXXX,How natural the patient's speech was. Human patients seem to be more reserved with how much they will speak. AI seems more likely to go off in flowery descriptions.,Some human patients may get upset.,25-34,Woman,Some college,Once or twice,Moderately confident
21,1/3/2026 21:34,1/3/2026 21:35,anonymous,,XXXX,"Which was smaller, more direct answers compared to longer answers. ","The longer ones are more in depth and longer, but most humans will just explain it briefly. So if you get a mix of the two it would be perfect.",25-34,Man,High school or equivalent,Daily or almost daily,Extremely confident
22,1/3/2026 21:35,1/3/2026 21:38,anonymous,,XXXX,"Most people aren't going to give long-winded, superfluous responses. The more curt, to-the-point responses definitely reflect a more human-likeness.","Most, if not all, chatbots blindly agree with you on everything. They're all seemingly afraid of going against the grain and disagreeing with the user.",25-34,Man,High school or equivalent,A few times a week,Somewhat confident
23,1/3/2026 21:33,1/3/2026 21:40,anonymous,,XXXX,"I mostly stuck to the instruction set of points that listed some behaviors of so-called ""AI"" (chatbots). And if I'm being honest, both chatbots always came off as VERY much chatbots. That said, there were different degrees of this in each of the five pairs. Repetition always stuck out to me to make the chatbot be more ""chatbot"". So if one had less repetition than the other I rated it more human-like. I also found the more succinct and to the point responses to be more human-like than the long wandering paragraphs.","I do not use chatbots but they're obviously always going to be derivative of the content they are trained on and can never be human-like and natural in that respect. I think the instruction set laid out that list of six points well that chatbots are prone to. Limiting these would ""help"". Also, specific to this type of interaction; People tend to let their doctor take control of a conversation and just answer the question without extra. ",35-44,Man,High school or equivalent,Never,Moderately confident
24,1/3/2026 21:46,1/3/2026 21:47,anonymous,,XXXX,I used normal grammar that a normal human would say. Overly long sentences seemed to be ai or symbols and other dashes that a human would not say,Unperfect grammar and more slang and less symbols like dashes in-between ,25-34,Man,High school or equivalent,A few times a week,Very confident
25,1/3/2026 22:03,1/3/2026 22:05,anonymous,,XXXX,I tried to focus on emotional responsiveness and consistencies.,Both chatbots lacked the asymmetry and inconsistency that humans have in conversations.,25-34,Man,Some college,Daily or almost daily,Moderately confident
26,1/3/2026 22:16,1/3/2026 22:20,anonymous,,XXXX,"I went by what sound realistic. Overly chatty patients felt like a ""bot giveaway"" like the ones that wanted to tell me a whole story instead of getting to the point. Also, patients that sounded overly knowledgeable or overly paranoid about certain treatments. ","Instead of having more of a back and forth, it felt like they wanted to spill too much at once, almost like they wanted too much to convince me that they were human. Also, they seemed more sure of themselves than the ""human"" ones did.  I kind of felt like there wasn't much middle ground...they were either too chatty or it felt like you had to pull information out of them, no in between. ",45-54,Woman,High school or equivalent,A few times a week,Somewhat confident
27,1/3/2026 23:36,1/3/2026 23:38,anonymous,,XXXX,How formal vs informal the language was and how agreeable/disagreeable they were.,Humans tend to change their thoughts part way through a sentence or hesitate to say things. Chatbots are overly confident and direct.,35-44,Woman,Some college,A few times a week,Somewhat confident
28,1/3/2026 23:48,1/3/2026 23:51,anonymous,,XXXX,The words used mostly. Shorter sentences and simple words.,humor and short sentences,65 or older,Woman,High school or equivalent,Daily or almost daily,Somewhat confident
29,1/3/2026 23:43,1/3/2026 23:52,anonymous,,XXXX,"I felt like some the answers were too long, included too much information.  As if there were a list somewhere that says ""responses may include X info"", and the AI responded to something that covered each point.  I think the responses that referred to specifics to earlier conversations or visits were more human like. ",Responses that included past conversations or visits. ,45-54,Woman,Some college,A few times a month,Somewhat confident
30,1/3/2026 23:52,1/3/2026 23:54,anonymous,,XXXX,"If speech was overly formal or more natural, if it included details of the patient profile in a more subtle way or said a lot of them together in unnatural way, it the responses were short and concise or overly long and rambling.",I'm not sure,25-34,Prefer not to say,Some college,Once or twice,Moderately confident
31,1/4/2026 00:09,1/4/2026 00:11,anonymous,,XXXX,I looked for things like em dashes and a lot of hyperbole and metaphors. ,All of the writing was too well written and punctuated. ,35-44,Woman,High school or equivalent,Once or twice,Somewhat confident
32,1/4/2026 00:09,1/4/2026 00:12,anonymous,,XXXX,"The more human-like chatbot provided shorter, less detailed answers, and the conversation felt more natural, as if someone would actually respond that way in a doctor's office.","Empathy, emotion, concern.",18-24,Woman,Some college,A few times a week,Very confident
33,1/4/2026 00:05,1/4/2026 00:13,anonymous,,XXXX,"If the chatbot gave too much information or used formal language or terms, I would not rate is as human like. Or if it used too many sayings.",Most answers are longer than I would expect a human to give. And they are missing the casual easiness of human conversation. ,25-34,Woman,High school or equivalent,A few times a month,Somewhat confident
34,1/4/2026 00:35,1/4/2026 00:37,anonymous,,XXXX,I judge it based off how casual the response is. I don't expect patients or anyone who isn't a professional to talk so formally where it becomes uncanny so I tried to look through the text and try to see a bit more natural casualness by seeing it not reflecting full on grammar. I also do not like it when it feels force like it trying to use slang. It feels like in the context it just doesn't work.,"I felt the biggest really is the lack of grammarly mistakes. Like it would feel more human like if along with the slang, it add in some grammar mistakes if possible but if not, remove the slang altogether since the AI doesn't seem to understand that it doesn't work in the context.",25-34,Woman,High school or equivalent,Daily or almost daily,Moderately confident
35,1/4/2026 00:40,1/4/2026 00:42,anonymous,,XXXX,I look ed at the responses as well as the language used in them. It was more human like where there weren't awkward pauses or sentence structures used that humans would never use when talking. I specifically also looked at punctuation such as if the bot used em dashes or not for example.,"Anything that indicates pauses often, as well as the filler words that humans use and the natural breaking of sentences is often not present in chatbots.",18-24,Man,Some college,Daily or almost daily,Very confident
36,1/4/2026 00:44,1/4/2026 00:46,anonymous,,XXXX,Mostly the tone of voice and how specifically or generally or organically or correctly they answered but I was not good at it.,"Machine-like, too agreeable",65 or older,Woman,High school or equivalent,A few times a week,Not at all confident
37,1/4/2026 00:48,1/4/2026 00:55,anonymous,,XXXX,Which matched their personalities more; quiet or talkative and detailed.,"They don't seem to hold any memory past the last response, not even their own last response.",18-24,Non-binary,Some college,Never,Not at all confident
38,1/4/2026 01:17,1/4/2026 01:26,anonymous,,XXXX,"I asked myself things like: Did the speech seem casual, or too formal? Was it repetitive? Did the conversation seem to flow naturally? Did it show any emotion? ","None of them seem to be able to get ""casual conversation"" quite right. They either speak in a way that is too perfect and formal, or they speak in a way that is attempting to be casual, but they get it wrong. It is as if they try too hard. They go overboard with slang terms and stuff like that, and it just ends up sounding really silly.",35-44,Woman,Some college,A few times a month,Somewhat confident
39,1/4/2026 01:31,1/4/2026 01:33,anonymous,,XXXX,"I went by what felt most natural, and didn't feel like they were overdoing it. ",Simplicity. It felt like sometimes they were trying to hard to incorporate things into the conversation that weren't necessarily needed to get their point across.,25-34,Woman,Some college,A few times a month,Moderately confident
40,1/4/2026 14:53,1/4/2026 14:54,anonymous,,XXXX,"I didn't get to evaluate the chatbots, I went straight to this survey at log-in.",Ability to follow specific instructions,45-54,Woman,Some college,A few times a week,Somewhat confident
41,1/4/2026 15:01,1/4/2026 15:02,anonymous,,XXXX,I used no specific criteria,didn't notice any,65 or older,Woman,High school or equivalent,Once or twice,Not at all confident
42,1/4/2026 15:03,1/4/2026 15:05,anonymous,,XXXX,The words used ,Personal traits ,25-34,Woman,Some college,Never,Moderately confident
43,1/4/2026 15:01,1/4/2026 15:06,anonymous,,XXXX,Main focus was on the tone.,The tone does not sound human-like,18-24,Woman,Some college,A few times a week,Very confident
44,1/4/2026 15:05,1/4/2026 15:08,anonymous,,XXXX,I judged the way they talked in the conversations mostly. For most of them it was very obvious with them just talking in way too complex ways or saying things that seemed nonsensical.,"Some of them did not seem to remember previous messages, like there was one speaking in spanish and then they spoke in english after I did but the next message was in spanish again. Some of them were pretty realistic to me but the ones that were obviously not human-like  definitely need to not have as long responses as it becomes more obvious they are not human-like at all.",25-34,Man,High school or equivalent,A few times a week,Very confident
45,1/4/2026 15:10,1/4/2026 15:12,anonymous,,XXXX,When a chatbot was replying with a lot of text it was less believable that it was human-like. Additionally the use of em dashes is an easy to spot sign of AI.,Typos are fairly common among humans and also humans are just not as thorough as the AI ,25-34,Man,High school or equivalent,A few times a week,Very confident
46,1/4/2026 15:15,1/4/2026 15:18,anonymous,,XXXX,"I looked for AI phrases in particular and odd phrasing, and chose the one that I felt used more natural language.",Human thoughts and phrasing is a bit more meandering than the language found in chatbots. ,25-34,Woman,Some college,A few times a month,Somewhat confident
47,1/4/2026 15:25,1/4/2026 15:29,anonymous,,XXXX,"Tone of the message, formality, responses to off the wall questions","While I do not necessarily wish this to be implemented, but most if not all negative human qualities seem to have been removed. Things like syntax or grammatical errors, negative emotion, etc.",45-54,Man,High school or equivalent,Daily or almost daily,Moderately confident
48,1/4/2026 15:34,1/4/2026 15:40,anonymous,,XXXX,"I was looking the things that were recommended, the conciseness, the technicality, how overly wordy the messages where. But also, the grammar. Things like em dashes and grammar that people typically don't use when typing casually. I was also looking for strange confusions and things that were very prevalent in the final conversation I had which is why I did a ""Tie"" on that one. I couldn't bring myself to choose B, even if it was less wordy. It was clearly mechanical and speaking in a way that is not typical of a human being.","Sometimes the grammar was just too perfect, people are more sloppy than that. They hesitate, they use slang, they listen and ask open ended questions instead of immediately pushing back and getting confused in the process. The final chat I had where I chose Tie was because they both felt mechanical, both had too perfect of grammar, and one of them seemed confused in a way that made no sense and it was being overly cheery  while pushing back against what I was saying in a way that was too wordy and not more eager to learn about what the possibilities of what I was recommending where. They were talking about chemicals when I was talking about physical therapy, they forgot they told me they took Tylenol, it was just really messy. I couldn't in good conscience choose anything other than a Tie for that one because it felt very AI to me.",35-44,Man,High school or equivalent,A few times a week,Extremely confident
49,1/4/2026 15:39,1/4/2026 15:41,anonymous,,XXXX,My criteria was people who didn't talk too much in a way that was too formal.,"They spoke too cleanly and were too proper, humans are more varied than that.",18-24,Man,High school or equivalent,Once or twice,Very confident
50,1/4/2026 15:40,1/4/2026 15:42,anonymous,,XXXX,how much human like they flowed ,nothing really could be little bit more sympothy ,35-44,Woman,High school or equivalent,A few times a week,Moderately confident
51,1/4/2026 15:36,1/4/2026 15:44,anonymous,,XXXX, I use the criteria of what sounded more natural to me. I thought about how people are when they go to the doctor. I thought about how open most people are and myself with information to tell the doctor. The answers needed to be natural and not say so much but enough to get treatment.," The human like trait that was missing was  over expanding answers. You did need to give the doctor enough information but not extra unneeded information. You can say you have a busy life and your symptoms are keeping you from being active. I felt the Chatbot was exaggerating a lot of the symptoms. Instead of the chatbot saying this pain is tearing me up , the chatbot would say these silly pains are tearing me up.  Some of the words was not human like and came out robotize, and so much information at once.",45-54,Woman,Some college,Daily or almost daily,Moderately confident
52,1/4/2026 15:56,1/4/2026 15:58,anonymous,,XXXX,Vibes mostly. Rambling on and on doesn't feel very human like to me.,Brevity. For the most part the chatbot on the left kept going on and on about things at random.,35-44,Man,High school or equivalent,A few times a week,Very confident
53,1/4/2026 16:00,1/4/2026 16:02,anonymous,,XXXX,"the way the chatbot typed. There's a very specific way LLMs will communicate, I tried choosing the one that is the least apparent, though not always possible.",everything? The pandering and sympathetic talking sounds so fake and manufactured. ,25-34,Man,Some college,Once or twice,Very confident
54,1/4/2026 16:14,1/4/2026 16:17,anonymous,,XXXX,"Whether or not the messages were something I could actually see somebody of their description (age, gender, occupation, etc) saying in real life. The colloquialism, the variance in sentence length. Things like that.","Lack of errors and spontaneity. Not enough mis-speaks, or stalling to think using words like ""Umm,"" ""uhh,"" or filler words such as ""like."" ",18-24,Woman,Some college,Daily or almost daily,Somewhat confident
55,1/4/2026 16:21,1/4/2026 16:24,anonymous,,XXXX,"Messy interactions, holding back on telling me info that would be important to help them out. I find people often feel shame and a bot will straight up just tell you what they need without any hesitation. A person you have to reassure and work that kind of info out of them.","Some of them were extremely long winded and they'd go back and forth between being interacting in a very human way to using vernacular that isn't consistent with how they were acting earlier in the conversation. So it's a combination of inconsistent vernacular and also long winded paragraphs of speech. I'm not saying that people can't have conversations like that but with doctor visits, I feel like it's rare. ",25-34,Man,High school or equivalent,A few times a month,Moderately confident
56,1/4/2026 16:20,1/4/2026 16:25,anonymous,,XXXX,i focused on the nature of  sentences and emotions,"emotions
intuition
empathy
personal experience",65 or older,Woman,High school or equivalent,Once or twice,Very confident
57,1/4/2026 16:33,1/4/2026 16:34,anonymous,,XXXX,If the conversation sounded like something the person would actually say and how they responded to questions.,The ability to answer several questions directly,45-54,Woman,High school or equivalent,A few times a month,Moderately confident
58,1/4/2026 16:30,1/4/2026 16:34,anonymous,,XXXX,"I watched for flow of the conversation, if the patient answered questions in a formal manner, or spent too much time talking about unrelated subjects. I noticed some of the chatbots jumped from one subject that was relevant, to another that had nothing to do with the conversation, and this happened in a sentence. ","They all had human like traits at some level, so that's difficult to say. ",45-54,Woman,Some college,A few times a week,Somewhat confident
59,1/4/2026 16:34,1/4/2026 16:36,anonymous,,XXXX,I chose the one that spoke more to explain their situation,I did not see any human traits that are missing. they were conversational.,65 or older,Woman,High school or equivalent,A few times a month,Somewhat confident
60,1/4/2026 16:38,1/4/2026 16:38,anonymous,,XXXX,If they overshared I thought they were less human.,"I like to see some slang, that's easier to tell.",35-44,Man,High school or equivalent,A few times a week,Somewhat confident
61,1/4/2026 16:42,1/4/2026 16:49,anonymous,,XXXX,"I was trying to figure out if the responses I was receiving felt like they were trying to be too human, for instance, finishing each sentence with ""you know"".  I was also looking for anything generic, something that everybody is going to say. I also wanted to make sure that the response I got was not necessarily something that could be understood without following up. Also was trying to see if they were being a little bit overdramatic, overdramatic being the chat bot.","There was not a lot of pushback, everybody I spoke to was pretty agreeable. Some could be overdramatic, but not negative towards me. I did not feel like it was enough questioning of my recommendations, they seem to be a little bit too eager to go along. When there was some questioning, it did not feel terribly realistic",45-54,Man,Some college,Daily or almost daily,Moderately confident
62,1/4/2026 17:03,1/4/2026 17:04,anonymous,,XXXX,I used the criteria presented in the instructions to judge which chatbot seemed more human-like. Some chats were easier to decide than others.,Some repeated greetings after being acknowledged and asked a different question. Others had full paragraphs which humans don't tend to do when speaking to a doctor.,25-34,Woman,Some college,Never,Not at all confident
63,1/4/2026 17:10,1/4/2026 17:12,anonymous,,XXXX,I just tried to pick the conversations that felt most realistic.,"None of them ever talk like actual people. People are messy, and they use language very loosely. Even when AI tries to seem loose, they don't get it right.",25-34,Man,High school or equivalent,A few times a month,Moderately confident
64,1/4/2026 17:19,1/4/2026 17:22,anonymous,,XXXX,The length of the things they said. Whether they spoke with any slang etc. ,Humor. Frustration. Anger. Irateness,35-44,Man,Some college,Daily or almost daily,Very confident
